segment,segment_start,segment_end,asset_target,task,model,n_test,direction_accuracy,balanced_direction_accuracy,MAE,RMSE,interval_90pct_coverage,interval_90pct_avg_width,interval_90pct_median_width,interval_90pct_avg_half_width,interval_width_to_mae
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,baseline,35,0.4,0.3809523809523809,0.0134804967270905,0.0170099088711263,0.8285714285714286,0.0613670545428386,0.0448528573488418,0.0306835272714193,4.552284369426455
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,shock_main,35,0.5142857142857142,0.5,0.0123026573913796,0.0163465715771906,0.8857142857142857,0.0626650560605685,0.0448528573488418,0.0313325280302842,5.0936195382045835
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,shock_interactions,35,0.4285714285714285,0.4166666666666666,0.0126560061629342,0.0171246027253539,0.8571428571428571,0.0610104755619031,0.0448528573488418,0.0305052377809515,4.820673660904562
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,rag_memory,35,0.5428571428571428,0.5357142857142857,0.0129982912970105,0.0170857277673265,0.8571428571428571,0.0602019110977785,0.0448528573488418,0.0301009555488892,4.63152499987628
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,shock_rag,35,0.5428571428571428,0.5238095238095238,0.0125641121672586,0.0163881038847446,0.8857142857142857,0.0583297005148124,0.0448528573488418,0.0291648502574062,4.642564451694124
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,case_model,35,0.3714285714285714,0.369047619047619,0.0132809152351159,0.0170689336336113,0.8857142857142857,0.0617935532329234,0.0448528573488418,0.0308967766164617,4.652808344829706
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,fusion,35,0.4857142857142857,0.4642857142857143,0.0127046480290429,0.016735689709974,0.8857142857142857,0.0606338296196879,0.0448528573488418,0.0303169148098439,4.772570596295019
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,fusion_case,35,0.3428571428571428,0.3214285714285714,0.0126375657801582,0.0163726333812219,0.8571428571428571,0.0601491695550027,0.0448528573488418,0.0300745847775013,4.759553429936681
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,baseline,63,0.5238095238095238,0.4125,0.0133607292739247,0.0194638316522998,0.9206349206349206,0.0932265005603265,0.0833832616843744,0.0466132502801632,6.977650594438039
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,shock_main,63,0.6031746031746031,0.4934782608695652,0.0123627007959877,0.0198584846786466,0.9365079365079364,0.0983962443713486,0.0811201797489345,0.0491981221856743,7.959122039359147
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,shock_interactions,63,0.5555555555555556,0.4744565217391304,0.0124836089956935,0.0187785206596955,0.9206349206349206,0.0925003660668494,0.0910859658451185,0.0462501830334247,7.409745539031171
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,rag_memory,63,0.6031746031746031,0.5211956521739131,0.0135097330000705,0.0196946922360034,0.9047619047619048,0.0898173844678071,0.0751820541238646,0.0449086922339035,6.648346378669239
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,shock_rag,63,0.6031746031746031,0.5211956521739131,0.0138391760134695,0.0211585868726319,0.9206349206349206,0.1000801412961836,0.0809809464732823,0.0500400706480918,7.2316546302161875
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,case_model,63,0.5238095238095238,0.4864130434782608,0.0119466758938935,0.0167083509243368,0.9523809523809524,0.0831647199917615,0.0631578772004343,0.0415823599958807,6.961327211887516
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,fusion,63,0.6190476190476191,0.5152173913043478,0.0133574569684531,0.0213589703076656,0.9523809523809524,0.1078769906892521,0.0947746892070134,0.053938495344626,8.076162322216689
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,fusion_case,63,0.6031746031746031,0.4842391304347826,0.0131625762843089,0.0208941837370766,0.9523809523809524,0.1063135758646697,0.0954922973036083,0.0531567879323348,8.076958003381604
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,baseline,63,0.6349206349206349,0.5528846153846154,0.0120633491547722,0.0167329024686432,0.8888888888888888,0.0721609549788854,0.0682355502784949,0.0360804774894427,5.981834236335504
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,shock_main,63,0.5873015873015873,0.5224358974358974,0.0131015035489644,0.0189955621053822,0.9047619047619048,0.0847259569397192,0.071745518680637,0.0423629784698596,6.466888065409551
