asset_target,task,model,n_test,direction_accuracy,balanced_direction_accuracy,MAE,RMSE,interval_90pct_coverage,interval_90pct_avg_width,interval_90pct_median_width,interval_90pct_avg_half_width,interval_width_to_mae
GLD_ret,regression,baseline,120,0.5083333333333333,0.4924242424242424,0.011329694412345,0.014627005952525,0.9,0.0556195064576577,0.0511322167976932,0.0278097532288288,4.909179756609648
GLD_ret,regression,shock_main,120,0.5583333333333333,0.5395622895622896,0.0106509599737558,0.0140715223800174,0.925,0.0559684872384987,0.050390091978232,0.0279842436192493,5.254783360035702
GLD_ret,regression,shock_interactions,120,0.5166666666666667,0.5050505050505051,0.0112569920016609,0.0146547990380459,0.9083333333333332,0.0573602016497134,0.0565696119442492,0.0286801008248567,5.0955176694848925
GLD_ret,regression,rag_memory,120,0.5583333333333333,0.5429292929292929,0.0112770523001129,0.0150318541061973,0.9083333333333332,0.0588785339533131,0.0570240763117768,0.0294392669766565,5.221092568021811
GLD_ret,regression,shock_rag,120,0.525,0.5109427609427609,0.0111578208595151,0.0145247600454611,0.9,0.0558145225574614,0.0470403438236333,0.0279072612787307,5.002278066676785
GLD_ret,regression,case_model,120,0.55,0.531986531986532,0.0107022830504524,0.0141949941016342,0.9166666666666666,0.055037076768084,0.0535450624912698,0.027518538384042,5.142554771596807
GLD_ret,regression,fusion,120,0.5333333333333333,0.5218855218855218,0.0114334530942465,0.0148493999152282,0.9,0.0561379431190591,0.0541012361558027,0.0280689715595295,4.909972748942177
GLD_ret,regression,fusion_case,120,0.5,0.4831649831649831,0.0111854889957792,0.0143764970773642,0.8916666666666667,0.0532447906893049,0.0493021390415281,0.0266223953446524,4.760166561282798
QQQ_ret,regression,baseline,148,0.4729729729729729,0.4199813258636788,0.013479347301399,0.020761847102684,0.8986486486486487,0.0746191837464707,0.0635951397273677,0.0373095918732353,5.535815798642242
QQQ_ret,regression,shock_main,148,0.5405405405405406,0.4870214752567693,0.0131948818873669,0.0212732628418647,0.8851351351351351,0.0759090543125792,0.0662832641492047,0.0379545271562896,5.752916544501702
QQQ_ret,regression,shock_interactions,148,0.5135135135135135,0.4676003734827264,0.0133431097093839,0.02077741503908,0.8918918918918919,0.0728027046057218,0.0635351352510773,0.0364013523028609,5.456202204087487
QQQ_ret,regression,rag_memory,148,0.6013513513513513,0.5707749766573296,0.0130950409056181,0.0199000648416568,0.8918918918918919,0.0718600776060875,0.0633919478272182,0.0359300388030437,5.487579467984526
QQQ_ret,regression,shock_rag,148,0.6081081081081081,0.5746031746031746,0.0134546608136223,0.0210607772500571,0.9054054054054054,0.0771088933074203,0.0655450307254821,0.0385544466537101,5.731017256811898
