target,model_family,task,n_train,n_validation,MAE,RMSE,params,selection_metric,direction_accuracy,balanced_accuracy
QQQ_ret,hgbdt,classification,44,30,,,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 40, ""model__max_leaf_nodes"": 4, ""model__min_samples_leaf"": 5}",balanced_accuracy,0.43333333333333335,0.5
QQQ_ret,lasso,classification,44,30,,,"{""model__C"": 0.05}",balanced_accuracy,0.5666666666666667,0.5
QQQ_ret,ridge,classification,44,30,,,"{""model__C"": 0.05}",balanced_accuracy,0.43333333333333335,0.5
QQQ_ret,xgboost,classification,44,30,,,"{""model__colsample_bytree"": 0.7, ""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_child_weight"": 1, ""model__n_estimators"": 30, ""model__reg_alpha"": 0.0, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.7}",balanced_accuracy,0.43333333333333335,0.5
SPY_ret,elasticnet,classification,44,30,,,"{""model__C"": 0.05, ""model__l1_ratio"": 0.5, ""model__max_iter"": 3000}",balanced_accuracy,0.5,0.5
SPY_ret,hgbdt,classification,44,30,,,"{""model__l2_regularization"": 1.0, ""model__learning_rate"": 0.06, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 4, ""model__min_samples_leaf"": 10}",balanced_accuracy,0.5333333333333333,0.5333333333333333
SPY_ret,lasso,classification,44,30,,,"{""model__C"": 0.05}",balanced_accuracy,0.5,0.5
SPY_ret,ridge,classification,44,30,,,"{""model__C"": 0.05}",balanced_accuracy,0.5,0.5
SPY_ret,xgboost,classification,44,30,,,"{""model__colsample_bytree"": 0.7, ""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_child_weight"": 1, ""model__n_estimators"": 30, ""model__reg_alpha"": 0.0, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.7}",balanced_accuracy,0.5,0.5
UUP_ret,elasticnet,classification,33,22,,,"{""model__C"": 0.5, ""model__l1_ratio"": 0.2, ""model__max_iter"": 3000}",balanced_accuracy,0.7272727272727273,0.7350427350427351
UUP_ret,hgbdt,classification,33,22,,,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.06, ""model__max_iter"": 40, ""model__max_leaf_nodes"": 8, ""model__min_samples_leaf"": 5}",balanced_accuracy,0.6818181818181818,0.6452991452991452
UUP_ret,lasso,classification,33,22,,,"{""model__C"": 2.0}",balanced_accuracy,0.5909090909090909,0.5683760683760684
UUP_ret,ridge,classification,33,22,,,"{""model__C"": 1.0}",balanced_accuracy,0.6818181818181818,0.6965811965811965
UUP_ret,xgboost,classification,33,22,,,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.06, ""model__max_depth"": 2, ""model__min_child_weight"": 1, ""model__n_estimators"": 80, ""model__reg_alpha"": 0.0, ""model__reg_lambda"": 1.0, ""model__subsample"": 1.0}",balanced_accuracy,0.7272727272727273,0.7008547008547008
